pid,block,trial,keypress,rt,ori,stim,fstim,fam,cond,acc,rt_OSF
2,1,1,q,0.6973037499992643,3,7,7,1,Learned,1,yes
2,1,2,p,1.4152120420003484,1,112,49,0,Novel,1,yes
2,1,3,p,1.0912334999993618,3,37,116,0,Novel,1,yes
2,1,4,q,0.8524319579992152,3,49,22,1,Learned,1,yes
2,1,5,p,1.2431340420007473,3,108,153,0,Novel,1,yes
2,1,6,q,1.0019867500013788,1,116,79,1,Learned,1,yes
2,1,7,p,1.1902042500005336,1,14,139,0,Novel,1,yes
2,1,8,q,1.062363707998884,3,22,68,1,Learned,1,yes
2,1,9,q,0.8615197920007631,3,153,122,1,Learned,1,yes
2,1,10,p,1.7152999999998428,3,1,72,0,Novel,1,yes
2,1,11,p,1.2287115000035556,2,16,100,0,Novel,1,yes
2,1,12,q,0.77694849999898,1,79,11,1,Learned,1,yes
2,1,13,p,0.8438175000010233,3,17,93,0,Novel,1,yes
2,1,14,p,0.8892485420001321,1,29,9,0,Novel,1,yes
2,1,15,p,0.8998147919992334,2,4,45,0,Novel,1,yes
2,1,16,p,1.0979628749992116,1,39,33,0,Novel,1,yes
2,1,17,p,1.038757041998906,1,139,76,1,Learned,0,yes
2,1,18,p,1.780904457998986,1,113,120,0,Novel,1,yes
2,1,19,q,0.8110492920022807,3,68,141,1,Learned,1,yes
2,1,21,q,0.8324975830000767,1,72,43,1,Learned,1,yes
2,1,24,p,0.929856207996636,2,19,25,0,Novel,1,yes
2,1,25,p,1.1030049580003831,2,11,132,1,Learned,0,yes
2,1,26,q,0.7351983330008807,1,93,27,1,Learned,1,yes
2,1,27,p,1.2882437500011292,2,109,110,0,Novel,1,yes
2,1,28,p,0.9451288330019452,1,36,62,0,Novel,1,yes
2,1,29,p,0.8360522500006482,2,32,114,0,Novel,1,yes
2,1,30,q,0.8538640829974611,1,9,18,1,Learned,1,yes
2,1,31,p,0.984659041001578,3,20,7,0,Novel,1,yes
2,1,32,p,0.98353170900009,1,104,49,0,Novel,1,yes
2,1,33,p,0.7477670410007704,3,23,116,0,Novel,1,yes
2,1,34,p,0.9453067079994072,2,107,22,0,Novel,1,yes
2,1,35,p,2.077381916999002,1,12,153,0,Novel,1,yes
2,1,36,p,1.6087557079990802,3,111,79,0,Novel,1,yes
2,1,37,p,0.995993291002378,2,115,139,0,Novel,1,yes
2,1,38,p,1.4749162920015806,2,45,68,1,Learned,0,yes
2,1,39,q,1.5413036669997382,1,33,122,1,Learned,1,yes
2,1,40,p,1.5285830829998304,3,76,72,1,Learned,0,yes
2,1,41,p,1.0898942920030097,3,38,100,0,Novel,1,yes
2,1,42,q,1.1711878330024774,1,120,11,1,Learned,1,yes
2,1,44,p,1.169413457999326,2,117,9,1,Learned,0,yes
2,1,45,p,1.3341901250023511,1,43,45,1,Learned,0,yes
2,1,46,p,0.8873400000011316,1,30,33,0,Novel,1,yes
2,1,47,p,1.819654291997722,1,13,76,0,Novel,1,yes
2,1,48,p,1.2532291669995177,1,106,120,0,Novel,1,yes
2,1,50,q,2.3548056250001537,3,28,117,1,Learned,1,yes
2,1,51,p,0.9990581249985552,3,21,43,0,Novel,1,yes
2,1,52,q,1.048962874996505,3,25,26,1,Learned,1,yes
2,1,53,p,1.781152249997831,3,2,28,0,Novel,1,yes
2,1,54,p,1.978389625001,1,132,25,1,Learned,0,yes
2,1,55,q,2.3167284590017516,1,27,132,1,Learned,1,yes
2,1,56,q,1.1282401669996034,1,110,27,1,Learned,1,yes
2,1,57,p,1.5481807090000077,2,10,110,0,Novel,1,yes
2,1,58,q,1.2214742919968558,3,62,62,1,Learned,1,yes
2,1,59,p,1.1741520420000595,3,114,114,1,Learned,0,yes
2,2,1,q,0.8024001250014408,3,27,7,1,Learned,1,yes
2,2,2,p,1.7575128329990548,1,7,49,1,Learned,0,yes
2,2,4,p,0.8371604589992785,3,129,22,0,Novel,1,yes
2,2,5,p,0.9695380419980212,1,50,153,0,Novel,1,yes
2,2,6,p,1.2153333330024907,3,71,79,0,Novel,1,yes
2,2,7,p,0.9218608340015636,1,128,139,0,Novel,1,yes
2,2,8,q,1.183667291999882,3,79,68,1,Learned,1,yes
2,2,9,p,0.981732624997676,3,52,122,0,Novel,1,yes
2,2,10,q,1.409959999997227,3,139,72,1,Learned,1,yes
2,2,11,q,1.2097942079999484,2,28,100,1,Learned,1,yes
2,2,13,p,1.7411734589986736,1,100,93,1,Learned,0,yes
2,2,14,q,0.83598287499989965,1,25,9,1,Learned,1,yes
2,2,15,p,1.0144151669992425,2,59,45,0,Novel,1,yes
2,2,16,p,1.7908337080007186,3,120,33,1,Learned,0,yes
2,2,17,p,0.8474823750002543,3,73,76,0,Novel,1,yes
2,2,18,p,1.269218584002374,1,41,120,0,Novel,1,yes
2,2,19,p,1.3746940409982926,3,51,141,0,Novel,1,yes
2,2,20,q,0.8711263339973812,2,141,117,1,Learned,1,yes
2,2,21,p,1.2690456660020573,2,47,43,0,Novel,1,yes
2,2,22,p,1.6332939589992748,2,76,26,1,Learned,0,yes
2,2,24,p,1.4744333750022631,2,22,25,1,Learned,0,yes
2,2,25,p,2.0841274590020475,1,70,132,0,Novel,1,yes
2,2,26,p,2.3912174590004724,2,56,27,0,Novel,1,yes
2,2,27,p,0.8577052910004568,2,130,110,0,Novel,1,yes
2,2,28,p,0.7243812500018976,1,42,62,0,Novel,1,yes
2,2,30,p,0.964557084000262,1,117,18,1,Learned,0,yes
2,2,31,q,1.475471917001414,1,122,7,1,Learned,1,yes
2,2,32,q,0.8026927920000162,1,62,49,1,Learned,1,yes
2,2,34,q,0.9739614999998594,3,132,22,1,Learned,1,yes
2,2,35,p,2.229974541998672,3,118,153,0,Novel,1,yes
2,2,36,p,0.9511195840022992,1,131,79,0,Novel,1,yes
2,2,37,p,1.6508512499967765,1,64,139,0,Novel,1,yes
2,2,38,p,0.9944808330001252,2,69,68,0,Novel,1,yes
2,2,39,p,1.2392201670008944,1,57,122,0,Novel,1,yes
2,2,40,p,0.7887531670021417,2,67,72,0,Novel,1,yes
2,2,42,q,1.458264249999047,3,45,11,1,Learned,1,yes
2,2,43,p,1.2078846249969502,3,43,93,1,Learned,0,yes
2,2,45,p,1.933487292000791,3,61,45,0,Novel,1,yes
2,2,47,p,0.8332088749994,1,119,76,0,Novel,1,yes
2,2,48,q,2.2265214580002066,2,68,120,1,Learned,1,yes
2,2,49,p,1.1377443750025122,1,125,141,0,Novel,1,yes
2,2,50,p,1.067309166999621,1,44,117,0,Novel,1,yes
2,2,51,p,0.9792471250002563,1,53,43,0,Novel,1,yes
2,2,52,p,1.181186625002738,2,66,26,0,Novel,1,yes
2,2,53,p,0.7480734160017164,2,114,28,1,Learned,0,yes
2,2,54,p,1.9858369169996877,2,60,25,0,Novel,1,yes
2,2,55,p,0.8088309170016146,2,126,132,0,Novel,1,yes
2,2,56,p,2.1381219159993634,3,123,27,0,Novel,1,yes
2,2,57,q,1.0286752089996298,3,26,110,1,Learned,1,yes
2,2,58,q,1.269905707998987,2,33,62,1,Learned,1,yes
2,2,59,q,1.8137771250003425,3,72,114,1,Learned,1,yes
2,3,1,p,1.5283167499983392,3,134,7,0,Novel,1,yes
2,3,2,q,0.8536372499984282,3,9,49,1,Learned,1,yes
2,3,3,q,1.0211483340026462,1,28,116,1,Learned,1,yes
2,3,4,q,1.1799739580019375,2,26,22,1,Learned,1,yes
2,3,5,q,2.236260999998194,2,25,153,1,Learned,1,yes
2,3,6,p,1.93808891700246,3,77,79,0,Novel,1,yes
2,3,7,p,0.9415130839988706,3,143,139,0,Novel,1,yes
2,3,8,p,1.2153499169980932,2,79,68,1,Learned,0,yes
2,3,9,p,1.135712125000282,1,45,122,1,Learned,0,yes
2,3,10,p,0.8288152909990458,2,88,72,0,Novel,1,yes
2,3,11,p,1.385657375001756,2,27,100,1,Learned,0,yes
2,3,12,p,0.8963595830027771,2,82,11,0,Novel,1,yes
2,3,13,p,1.1264041249996808,1,84,93,0,Novel,1,yes
2,3,14,p,0.7613151669975196,2,92,9,0,Novel,1,yes
2,3,15,p,1.0095425830004388,3,97,45,0,Novel,1,yes
2,3,16,p,1.0108436659975268,3,144,33,0,Novel,1,yes
2,3,17,p,0.757835749998776,3,75,76,0,Novel,1,yes
2,3,18,p,0.8367242080021242,2,7,120,1,Learned,0,yes
2,3,19,p,1.353677333001542,2,132,141,1,Learned,0,yes
2,3,20,q,1.6844235829994432,2,43,117,1,Learned,1,yes
2,3,21,p,0.9852666669976315,1,76,43,1,Learned,0,yes
2,3,22,p,1.085509207998257,3,87,26,0,Novel,1,yes
2,3,23,p,1.058622500000638,3,83,28,0,Novel,1,yes
