pid,fstim
1,19
1,47
1,27
1,11
1,71
1,2
1,124
1,144
1,41
1,67
1,82
1,39
1,151
1,81
1,125
1,117
1,146
1,73
1,97
1,26
1,77
1,95
1,107
1,87
1,126
1,136
1,78
1,50
1,131
1,68
2,7
2,49
2,116
2,22
2,153
2,79
2,139
2,68
2,122
2,72
2,100
2,11
2,93
2,9
2,45
2,33
2,76
2,120
2,141
2,117
2,43
2,26
2,28
2,25
2,132
2,27
2,110
2,62
2,114
2,18
3,95
3,20
3,45
3,141
3,118
3,57
3,128
3,92
3,16
3,44
3,94
3,7
3,119
3,113
3,38
3,143
3,22
3,23
3,28
3,13
3,52
3,148
3,123
3,93
3,83
3,77
3,106
3,124
3,37
3,50
4,7
4,28
4,21
4,20
4,9
4,12
4,136
4,49
4,43
4,25
4,51
4,53
4,71
4,79
4,108
4,10
4,83
4,144
4,139
4,13
4,124
4,60
4,146
4,140
4,16
4,27
4,141
4,150
4,57
4,125
5,25
5,106
5,110
5,123
5,1
5,109
5,70
5,111
5,33
5,11
5,125
5,29
5,51
5,108
5,72
5,41
5,9
5,107
5,88
5,120
5,4
5,92
5,10
5,97
5,112
5,102
5,13
5,12
5,17
5,62
6,70
6,9
6,136
6,12
6,138
6,38
6,78
6,135
6,123
6,64
6,73
6,67
6,37
6,98
6,140
6,104
6,76
6,134
6,36
6,141
6,71
6,146
6,92
6,32
6,91
6,108
6,23
6,75
6,60
6,22
7,151
7,130
7,134
7,80
7,74
7,7
7,43
7,132
7,107
7,106
7,60
7,9
7,41
7,21
7,122
7,97
7,128
7,91
7,18
7,94
7,12
7,142
7,11
7,36
7,93
7,69
7,144
7,13
7,29
7,53
8,142
8,98
8,23
8,28
8,59
8,33
8,72
8,36
8,93
8,49
8,145
8,9
8,140
8,66
8,123
8,144
8,105
8,56
8,82
8,139
8,79
8,124
8,102
8,91
8,53
8,43
8,110
8,132
8,101
8,2
9,140
9,57
9,28
9,50
9,33
9,20
9,115
9,73
9,32
9,2
9,66
9,4
9,90
9,135
9,75
9,76
9,143
9,94
9,125
9,120
