pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
1,1,1,q,0.6689921249999315,2,28,1,Famous,1
1,1,2,q,0.6247402079970925,2,100,0,New,0
1,1,3,p,0.4978818339986901,1,73,0,New,1
1,1,4,p,0.5534897079996881,1,36,1,Famous,0
1,1,5,q,0.6141972080004052,3,12,1,Famous,1
1,1,6,p,0.5410978749969217,1,41,0,New,1
1,1,7,q,0.5635933750018012,2,45,1,Famous,1
1,1,8,p,0.497260832999018,1,101,0,New,1
1,1,9,p,0.6302636660002463,2,43,0,New,1
1,1,10,q,0.8130547500004468,1,44,1,Famous,1
1,1,11,q,0.6579892919980921,1,58,1,Famous,1
1,1,12,q,0.7025470829976257,1,29,1,Famous,1
1,1,13,q,0.5998624999992899,1,150,0,New,0
1,1,14,p,0.5157584580010734,1,91,0,New,1
1,1,15,q,0.6656767920030688,1,4,0,New,0
1,1,16,q,0.8184993340000801,2,41,1,Famous,1
1,1,17,q,0.8223902499994438,1,10,1,Famous,1
1,1,18,p,0.848132250001072,2,123,0,New,1
1,1,19,q,0.7159554999998363,3,14,1,Famous,1
1,1,20,p,0.597991999999067,3,139,0,New,1
1,1,21,q,0.774985750002088,3,68,0,New,0
1,1,22,p,0.5624046250013635,1,64,0,New,1
1,1,23,q,0.6655099999989034,2,38,1,Famous,1
1,1,24,q,0.8058080420014448,3,35,1,Famous,1
1,1,26,q,0.796249708000687,1,126,0,New,0
1,1,27,p,0.6974681669998972,1,53,0,New,1
1,1,28,q,0.8036480420014414,2,8,1,Famous,1
1,1,29,p,0.7949076670010982,2,112,0,New,1
1,1,30,p,0.5112068749986065,2,93,0,New,1
1,1,31,p,0.6982088340009796,3,140,0,New,1
1,1,32,q,0.7056749170005787,3,34,1,Famous,1
1,1,33,q,0.7612789580016397,3,40,1,Famous,1
1,1,34,q,0.8206687499987311,2,24,1,Famous,1
1,1,35,p,0.676299167000252,3,52,0,New,1
1,1,36,p,0.5724875419982709,3,62,0,New,1
1,1,37,q,0.6681644170021173,2,21,1,Famous,1
1,1,38,p,0.6571919159978279,3,77,0,New,1
1,1,39,q,0.8509972499996366,3,115,0,New,0
1,1,42,p,0.550558541999635,1,153,0,New,1
1,1,43,p,0.5428960419994837,3,10,0,New,1
1,1,44,p,0.604434458000469,3,27,1,Famous,0
1,1,45,q,0.7087504580013047,2,48,1,Famous,1
1,1,46,p,0.5265417500013427,1,49,0,New,1
1,1,47,q,0.8508110830007354,1,1,1,Famous,1
1,1,48,q,0.6575948749996314,2,17,1,Famous,1
1,1,49,q,0.6119134580003447,3,46,1,Famous,1
1,1,50,p,0.7489913339995837,2,114,0,New,1
1,1,51,p,0.47567916700063506,1,72,0,New,1
1,1,52,q,0.6126120829976571,3,32,1,Famous,1
1,1,53,q,0.661182583997288,3,39,1,Famous,1
1,1,54,p,0.5999727910020738,1,148,0,New,1
1,1,55,q,0.6123048329973244,3,37,1,Famous,1
1,1,56,q,0.6638075420014502,1,52,1,Famous,1
1,1,57,q,0.7656971249998605,1,11,1,Famous,1
1,1,58,q,0.7193542079985491,3,18,1,Famous,1
1,1,59,p,0.5062339159994735,1,28,0,New,1
1,1,60,p,0.7900668750007753,3,14,0,New,1
1,2,1,p,0.5143783750027069,2,84,0,New,1
1,2,2,p,0.6498456660010561,3,122,0,New,1
1,2,3,q,0.5629169159983576,1,34,1,Famous,1
1,2,4,q,0.6160965829985798,2,40,1,Famous,1
1,2,5,p,0.6980845420002879,3,109,0,New,1
1,2,6,q,0.6124801670011948,2,52,1,Famous,1
1,2,7,p,0.7020094580002478,3,146,0,New,1
1,2,8,q,0.6641147499976796,1,37,1,Famous,1
1,2,10,q,0.6588797910007997,3,48,1,Famous,1
1,2,11,p,0.6195884580010897,2,14,1,Famous,0
1,2,12,q,0.7122760000020207,1,28,1,Famous,1
1,2,13,q,0.6492776250015595,3,131,0,New,0
1,2,14,q,0.7174928340027691,3,1,1,Famous,1
1,2,15,p,0.6686545000011392,1,19,0,New,1
1,2,16,p,0.647070958999393,1,134,0,New,1
1,2,17,q,0.6068168330020853,3,29,1,Famous,1
1,2,18,q,0.65938350000215,1,32,1,Famous,1
1,2,19,q,0.6173005829987233,3,17,1,Famous,1
1,2,20,p,0.49340912499974365,1,27,0,New,1
1,2,21,p,0.4779024159979599,3,83,0,New,1
1,2,22,p,0.4767911660019308,2,44,0,New,1
1,2,23,p,0.6271492499981832,2,80,0,New,1
1,2,24,p,0.5566347909989418,1,95,0,New,1
1,2,25,p,0.5891041249997215,2,66,0,New,1
1,2,26,p,0.6140252080003847,3,102,0,New,1
1,2,27,p,0.44590304200028186,2,39,0,New,1
1,2,28,q,0.5038015409991203,3,38,1,Famous,1
1,2,29,q,0.7607726250025735,3,6,1,Famous,1
1,2,30,q,0.7527817920017696,2,58,1,Famous,1
1,2,31,p,0.5881236249988433,1,38,0,New,1
1,2,32,q,0.7671061660003033,3,10,1,Famous,1
1,2,33,q,0.5930193749991304,2,57,0,New,0
