pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
2,1,1,q,0.533931959000256,2,135,0,New,no,0
2,1,2,p,0.7695715420013585,3,52,1,Famous,no,0
2,1,3,q,0.452891124999951,3,129,0,New,no,0
2,1,4,p,0.7226187090000167,3,89,0,New,no,1
2,1,5,p,0.6192929579992779,1,56,1,Famous,no,0
2,1,6,q,0.618737291000798,3,57,1,Famous,no,1
2,1,7,q,0.7647259580007812,3,45,1,Famous,no,1
2,1,9,p,0.43917941699874063,1,52,0,New,no,1
2,1,10,q,0.4615749170006893,1,54,1,Famous,no,1
2,1,11,q,0.39013645900013216,3,19,1,Famous,no,1
2,1,12,p,0.4973829590016976,2,18,0,New,no,1
2,1,13,q,0.3065896660009457,1,42,0,New,no,0
2,1,14,q,0.5493927910010825,3,5,1,Famous,no,1
2,1,15,q,0.6196890420014824,1,44,1,Famous,no,1
2,1,16,q,0.4971881250003207,1,83,0,New,no,0
2,1,17,p,0.5481694580012118,2,59,1,Famous,no,0
2,1,18,q,0.4910288749997562,2,9,0,New,no,0
2,1,19,q,0.4938729589994182,2,14,0,New,no,0
2,1,20,p,0.4682768330003455,2,38,1,Famous,no,0
2,1,21,p,0.6123008330014272,2,8,1,Famous,no,0
2,1,22,q,0.535594333001427,3,124,0,New,no,0
2,1,23,q,0.4696105830007582,3,13,1,Famous,no,1
2,1,24,p,0.7078132919996278,2,4,1,Famous,no,0
2,1,25,p,0.46495270900049945,3,39,1,Famous,no,0
2,1,26,q,0.4570017079986428,1,105,0,New,no,0
2,1,27,q,0.3508866249994753,2,66,0,New,no,0
2,1,28,q,0.5332578329998796,2,2,0,New,no,0
2,1,29,p,0.4660433750013908,3,12,1,Famous,no,0
2,1,30,p,0.5462832499997603,1,51,0,New,no,1
2,1,31,q,0.45771337499900255,1,139,0,New,no,0
2,1,32,p,0.4654580000005808,1,28,1,Famous,no,0
2,1,33,q,0.5792395419994136,1,32,0,New,no,0
2,1,34,p,0.4571127499984868,2,104,0,New,no,1
2,1,35,q,0.30197491600119974,3,50,0,New,no,0
2,1,36,p,0.39554183300060686,3,78,0,New,no,1
2,1,37,q,0.3556865000009566,3,36,0,New,no,0
2,1,38,p,0.8647909999999683,2,43,1,Famous,no,0
2,1,39,q,0.4920035000013741,2,84,0,New,no,0
2,1,40,p,0.457775834000131,1,150,0,New,no,1
2,1,41,q,0.4563412909992622,2,35,1,Famous,no,1
2,1,42,p,0.3875838330004626,3,48,1,Famous,no,0
2,1,43,q,0.35985120800069126,2,95,0,New,no,0
