Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6899c8bcaa3d34798c7a769e,5ef07f0ba383185b3570273e,APPROVED,Not Applicable,2025-08-11T10:41:25.834000Z,2025-08-11T11:17:52.505000Z,2025-08-11T11:28:53.153000Z,2025-08-11T11:17:52.901299Z,2187,CGMK46ZK,809,I do not use glasses or contact lenses,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6899c8e0276b994df7498043,571a78f06a1c6300114b8d80,APPROVED,Not Applicable,2025-08-11T10:41:39.746000Z,2025-08-11T11:17:15.697000Z,2025-08-11T11:28:54.938000Z,2025-08-11T11:17:16.089880Z,2136,CGMK46ZK,2795,I mainly use contact lenses,"English, Dutch",42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6899c8e9aaf946d3cc66e9f6,63d79fcd741f9cfb2f87152f,APPROVED,Not Applicable,2025-08-11T10:41:57.696000Z,2025-08-11T11:24:38.969000Z,2025-08-11T11:28:59.613000Z,2025-08-11T11:24:39.399524Z,2562,CGMK46ZK,5451,I do not use glasses or contact lenses,English,49,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Part-Time
6899c8eaaf86d8d9f9daff3c,5b6b2c3156558d0001678ffc,APPROVED,Not Applicable,2025-08-11T10:42:09.277000Z,2025-08-11T11:12:14.973000Z,2025-08-11T11:29:03.932000Z,2025-08-11T11:12:15.394263Z,1806,CGMK46ZK,1104,I do not use glasses or contact lenses,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6899c8eb5ff08a0f734fb8d7,5c4f5967aac8be0001716a65,APPROVED,Not Applicable,2025-08-11T10:41:48.283000Z,2025-08-11T11:12:51.071000Z,2025-08-11T11:28:56.331000Z,2025-08-11T11:12:51.557107Z,1863,CGMK46ZK,6956,I mainly use glasses,English,34,Male,White,Ireland,United Kingdom,Ireland,English,Yes,Full-Time
6899c8eba872c5e16783e591,667a9bdad0e1a943ee3d04bb,APPROVED,Not Applicable,2025-08-11T10:42:00.526000Z,2025-08-11T11:48:06.645000Z,2025-08-11T11:48:40.805000Z,2025-08-11T11:48:07.120163Z,3967,CGMK46ZK,1611,I do not use glasses or contact lenses,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6899c8ef2e667a34bcc631fd,600552740dbd6673a1ffda30,APPROVED,Not Applicable,2025-08-11T10:46:20.459000Z,2025-08-11T11:25:11.657000Z,2025-08-11T11:29:35.115000Z,2025-08-11T11:25:12.056116Z,2332,CGMK46ZK,1444,I do not use glasses or contact lenses,English,28,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6899c8f4f39662e104f87a17,57165ba7c5aca2000a8d32ca,APPROVED,Not Applicable,2025-08-11T10:41:56.283000Z,2025-08-11T11:13:12.924000Z,2025-08-11T11:28:57.640000Z,2025-08-11T11:13:13.333933Z,1877,CGMK46ZK,2071,I do not use glasses or contact lenses,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6899c8f6539f2ae82eed8e64,6658c56f3d9230d99c3e6752,APPROVED,Not Applicable,2025-08-11T10:42:35.167000Z,2025-08-11T11:26:43.816000Z,2025-08-11T11:29:06.520000Z,2025-08-11T11:26:44.262320Z,2649,CGMK46ZK,2718,I do not use glasses or contact lenses,English,36,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
6899c8f697e7f6999aa2b04c,62a3b97d41ae082b602e815b,APPROVED,Not Applicable,2025-08-11T10:42:01.805000Z,2025-08-11T11:27:21.397000Z,2025-08-11T11:29:02.529000Z,2025-08-11T11:27:21.782372Z,2720,CGMK46ZK,3648,I use both glasses and contact lenses,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
