Study_information_1.started,Study_information_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,session,date,expName,psychopyVersion,OS,frameRate,participant,study_id,Study_information_2.started,Study_information_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Study_information_3.started,Study_information_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Consent.started,Consent.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction_1.started,Instruction_1.stopped,space_cont.keys,space_cont.rt,space_cont.duration,Instruction_2.started,Instruction_2.stopped,space_cont_2.keys,space_cont_2.rt,space_cont_2.duration,Instruction_3.started,Instruction_3.stopped,space_cont_3.keys,space_cont_3.rt,space_cont_3.duration,Instruction_4.started,Instruction_4.stopped,space_cont_4.keys,space_cont_4.rt,space_cont_4.duration,Instruction_5.started,Instruction_5.stopped,space_cont_5.keys,space_cont_5.rt,space_cont_5.duration,Familiarity_Rating.started,Familiarity_Rating.stopped,familiarity_scale.response,familiarity_scale.rt,key_resp_familiarity.keys,familiarity_rating,Valence_Rating.started,Valence_Rating.stopped,valence_scale.response,valence_scale.rt,key_resp_valence.keys,key_resp_valence.rt,key_resp_valence.duration,valence_rating,Name_Selection.started,Name_Selection.stopped,key_resp_naming.keys,key_resp_naming.rt,key_resp_naming.duration,identity_no,image_file,correct_name,selected_name_option,selected_name,correct_name_option,name_correct,qualifies_for_part2,qualified_count_so_far,trials_rating.thisRepN,trials_rating.thisTrialN,trials_rating.thisN,trials_rating.thisIndex,trials_rating.ran,Identity_no,Image,Option1,Option2,Option3,Option4,CorrectName,selection_method,num_selected_identities,qualified_identity_nos,break_1.started,break_1.stopped,Load_Recognition_Trials.started,Load_Recognition_Trials.stopped,Instruction_recog_1.started,Instruction_recog_1.stopped,space_cont_6.keys,space_cont_6.rt,space_cont_6.duration,Instruction_recog_2.started,Instruction_recog_2.stopped,space_cont_7.keys,space_cont_7.rt,space_cont_7.duration,fixation_duration,fix_cross.started,fix_cross.stopped,Practice_Recognition_Trial.started,Practice_Recognition_Trial.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,is_practice,practice_trial_number,is_familiar,participant_response,too_slow,response_time,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,Instruction_recog.started,Instruction_recog.stopped,space_cont_8.keys,space_cont_8.rt,space_cont_8.duration,Recognition_trials.started,Recognition_trials.stopped,key_resp_recognition.keys,key_resp_recognition.rt,key_resp_recognition.duration,recognition_trial_number,original_trial_number,block,trial_in_block,orientation,identity_type,response_familiar,correct,valid_response,Too_slow.started,Too_slow.stopped,break_recog.started,break_recog.stopped,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_6.duration
0.0002,4.5324,space,4.5196,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,4.5327,7.103,space,2.5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,7.1032,10.9035,space,3.7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,10.9036,12.7634,space,1.8352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,12.7637,21.6632,space,8.8766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,21.6634,30.9234,space,9.2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,30.9236,39.293,space,8.3556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2933,46.743,space,7.4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7432,53.0032,space,6.2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc653ad512ebff118043,2026-01-22_10h31.31.117,WP1_3,2025.2.3,MacIntel,100,5cae5f9c48514600183d8fac,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0112,59.2733,,,,10,59.2743,64.433,,,"[""right"",""right"",""right"",""right"",""space""]","[1.271899999999448,1.5358999999994438,1.7990000000000066,3.0720999999996366,5.118099999999629]","[null,null,null,null,null]",9,64.4338,68.7532,space,4.2779,,6,Celebrities_Faces/006_rating.jpg,Arnold Schwarzeneger,0,Arnold Schwarzeneger,0,TRUE,TRUE,1,0,0,0,5,1,6,Celebrities_Faces/006_rating.jpg,Arnold Schwarzeneger,Dwayne Johnson,Tom Cruise,Ryan Reynolds,Arnold Schwarzeneger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
