Index,Gender,Date_of_birth,Ethnicity,Date of testing,Future studies,Comments
1.1-RF-01,F,Dec.95,South &  South-East Asian,03.07.2024,,
1.1-RF-02,M,Oct.93,"North African, Middle Eastern and Central Asian",05.07.2024,,
1.1-RF-03,F,Jul.92,European,05.05.2024,,
1.1-RF-04,M,Nov.03,"North African, Middle Eastern and Central Asian",08.07.2024,,
1.1-RF-05,F,May.02,European,08.07.2024,,
1.1-RF-06,F,Sep.94,South & South-East Asian,09.07.2024,,
1.1-RF-07,M,Oct.95,European,10.07.2024,,
1.1-RF-08,F,Mar.94,European,15.07.2024,,
1.1-RF-09,F,Jun.93,European,23.07.2024,,
1.1-RF-10,F,Apr.90,Latin American,24.07.2024,,
1.1-RF-11,M,May.86,European,25.07.2024,,
1.1-RF-12,M,Jun.96,European,13.08.2024,,
1.1-RF-13,F,Apr.89,European,01.10.2024,,
1.1-RF-14,F,Dec.99,European,01.10.2024,,
1.1-RF-15,M,Aug.04,European,09.10.2024,,
1.1-RF-16,M,Apr.00,European,09.10.2024,,
1.1-RF-17,M,Nov.01,South &  South-East Asian,10.10.2024,Yes,
1.1-RF-18,F,Jan.93,East Asian,17.10.2024,Yes,
1.1-RF-19,M,Oct.02,European,18.10.2024,Yes,
1.1-RF-20,F,Sep.99,East Asian,22.10.2024,Yes,
1.1-RF-21,F,Jul.93,South &  South-East Asian,22.10.2024,Yes,
1.1-RF-22,F,Aug.98,European,23.10.2024,Yes,
1.1-RF-23,F,Feb.00,"North African, Middle Eastern and Central Asian",23.10.2024,Yes,
1.1-RF-24,F,Oct.02,East Asian,23.10.2024,Yes,
1.1-RF-25,F,Apr.93,European,23.10.2024,Yes,
1.1-RF-26,M,May.82,Caribbean,28.10.2024,Yes,
1.1-RF-27,F,Jun.02,East Asian,30.10.2024,Yes,
1.1-RF-28,F,Jul.95,European,05.11.2024,Yes,
1.1-RF-29,F,Jun.02,European,08.11.2024,Yes,
1.1-RF-30,M,Feb.96,European,08.11.2024,Yes,
1.1-RF-31,F,Apr.00,European,14.11.2024,Yes,
