Study_information_1.started,Study_information_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,session,date,expName,psychopyVersion,OS,frameRate,participant,study_id,Study_information_2.started,Study_information_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Study_information_3.started,Study_information_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Consent.started,Consent.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction_1.started,Instruction_1.stopped,space_cont.keys,space_cont.rt,space_cont.duration,Instruction_2.started,Instruction_2.stopped,space_cont_2.keys,space_cont_2.rt,space_cont_2.duration,Instruction_3.started,Instruction_3.stopped,space_cont_3.keys,space_cont_3.rt,space_cont_3.duration,Instruction_4.started,Instruction_4.stopped,space_cont_4.keys,space_cont_4.rt,space_cont_4.duration,Instruction_5.started,Instruction_5.stopped,space_cont_5.keys,space_cont_5.rt,space_cont_5.duration,Familiarity_Rating.started,Familiarity_Rating.stopped,familiarity_scale.response,familiarity_scale.rt,key_resp_familiarity.keys,familiarity_rating,Valence_Rating.started,Valence_Rating.stopped,valence_scale.response,valence_scale.rt,key_resp_valence.keys,key_resp_valence.rt,key_resp_valence.duration,valence_rating,Name_Selection.started,Name_Selection.stopped,key_resp_naming.keys,key_resp_naming.rt,key_resp_naming.duration,identity_no,image_file,correct_name,selected_name_option,selected_name,correct_name_option,name_correct,qualifies_for_part2,qualified_count_so_far,trials_rating.thisRepN,trials_rating.thisTrialN,trials_rating.thisN,trials_rating.thisIndex,trials_rating.ran,Identity_no,Image,Option1,Option2,Option3,Option4,CorrectName,selection_method,num_selected_identities,qualified_identity_nos,break_1.started,break_1.stopped,Load_Recognition_Trials.started,Load_Recognition_Trials.stopped,Instruction_recog_1.started,Instruction_recog_1.stopped,space_cont_6.keys,space_cont_6.rt,space_cont_6.duration,Instruction_recog_2.started,Instruction_recog_2.stopped,space_cont_7.keys,space_cont_7.rt,space_cont_7.duration,fixation_duration,fix_cross.started,fix_cross.stopped,Practice_Recognition_Trial.started,Practice_Recognition_Trial.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,is_practice,practice_trial_number,is_familiar,participant_response,too_slow,response_time,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,Instruction_recog.started,Instruction_recog.stopped,space_cont_8.keys,space_cont_8.rt,space_cont_8.duration,Recognition_trials.started,Recognition_trials.stopped,key_resp_recognition.keys,key_resp_recognition.rt,key_resp_recognition.duration,recognition_trial_number,original_trial_number,block,trial_in_block,orientation,identity_type,response_familiar,correct,valid_response,Too_slow.started,Too_slow.stopped,break_recog.started,break_recog.stopped,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_6.duration,End_experiment.started,End_experiment.stopped
0.0004,1.2861,space,1.2313,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,1.2864,2.7032,space,1.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,2.7037,3.3874,space,0.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,3.3877,4.3227,space,0.8857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,4.3241,12.7629,space,8.3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,12.7633,14.7912,space,1.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,,,,,,14.7915,17.4563,space,2.6257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4565,18.7791,space,1.2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7792,21.8503,space,3.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,696e01bece89a7baaba37d74,2026-01-19_10h05.48.012,WP1_3,2025.2.3,MacIntel,58.47953216,67334911eb1de6dd02fc126a,68dce618a723bff3d9c89c16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8727,29.1014,,,,2,29.1044,32.0621,,,"[""right"",""space""]","[2.0474999999999994,2.896500000000003]","[null,null]",6,32.0637,35.8685,space,3.7311,,58,Celebrities_Faces/058_rating.jpg,Nicole Kidman,2,Nicole Kidman,2,TRUE,FALSE,0,0,0,0,57,1,58,Celebrities_Faces/058_rating.jpg,Millie Bobby Brown,Greta Thunberg,Nicole Kidman,Julia Roberts,Nicole Kidman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
