Study_information_1.started,Study_information_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,session,date,expName,psychopyVersion,OS,frameRate,participant,study_id,Study_information_2.started,Study_information_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Study_information_3.started,Study_information_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Consent.started,Consent.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction_1.started,Instruction_1.stopped,space_cont.keys,space_cont.rt,space_cont.duration,Instruction_2.started,Instruction_2.stopped,space_cont_2.keys,space_cont_2.rt,space_cont_2.duration,Instruction_3.started,Instruction_3.stopped,space_cont_3.keys,space_cont_3.rt,space_cont_3.duration,Instruction_4.started,Instruction_4.stopped,space_cont_4.keys,space_cont_4.rt,space_cont_4.duration,Instruction_5.started,Instruction_5.stopped,space_cont_5.keys,space_cont_5.rt,space_cont_5.duration,Familiarity_Rating.started,Familiarity_Rating.stopped,familiarity_scale.response,familiarity_scale.rt,key_resp_familiarity.keys,familiarity_rating,Valence_Rating.started,Valence_Rating.stopped,valence_scale.response,valence_scale.rt,key_resp_valence.keys,key_resp_valence.rt,key_resp_valence.duration,valence_rating,Name_Selection.started,Name_Selection.stopped,key_resp_naming.keys,key_resp_naming.rt,key_resp_naming.duration,identity_no,image_file,correct_name,selected_name_option,selected_name,correct_name_option,name_correct,qualifies_for_part2,qualified_count_so_far,trials_rating.thisRepN,trials_rating.thisTrialN,trials_rating.thisN,trials_rating.thisIndex,trials_rating.ran,Identity_no,Image,Option1,Option2,Option3,Option4,CorrectName,selection_method,num_selected_identities,qualified_identity_nos,break_1.started,break_1.stopped,Load_Recognition_Trials.started,Load_Recognition_Trials.stopped,Instruction_recog_1.started,Instruction_recog_1.stopped,space_cont_6.keys,space_cont_6.rt,space_cont_6.duration,Instruction_recog_2.started,Instruction_recog_2.stopped,space_cont_7.keys,space_cont_7.rt,space_cont_7.duration,fixation_duration,fix_cross.started,fix_cross.stopped,Practice_Recognition_Trial.started,Practice_Recognition_Trial.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,is_practice,practice_trial_number,is_familiar,participant_response,too_slow,response_time,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,Instruction_recog.started,Instruction_recog.stopped,space_cont_8.keys,space_cont_8.rt,space_cont_8.duration,Recognition_trials.started,Recognition_trials.stopped,key_resp_recognition.keys,key_resp_recognition.rt,key_resp_recognition.duration,recognition_trial_number,original_trial_number,block,trial_in_block,orientation,identity_type,response_familiar,correct,valid_response,Too_slow.started,Too_slow.stopped,break_recog.started,break_recog.stopped,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_6.duration
0.0002,3.4517,space,3.4238,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,3.452,5.2184,space,1.7542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,5.2186,6.9348,space,1.7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,6.9349,9.352,space,2.3922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,9.3521,18.5998,space,9.2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,18.5999,32.3652,space,13.7478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,32.3654,45.1469,space,12.7695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.147,51.5462,space,6.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5463,61.7281,space,10.1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7344,68.6272,,,,10,68.628,72.01,,,"[""right"",""right"",""space""]","[2.3733000000007394,2.8858000000007564,3.2817000000011376]","[null,null,null]",7,72.0105,75.0263,space,2.9237,,35,Celebrities_Faces/035_rating.jpg,Lindsay Lohan,3,Lindsay Lohan,3,TRUE,TRUE,1,0,0,0,34,1,35,Celebrities_Faces/035_rating.jpg,Anya Taylor-Joy,Millie Bobby Brown,Keira Knightley,Lindsay Lohan,Lindsay Lohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.027,77.4591,,,,10,77.4598,78.9589,,,"[""right"",""right"",""right"",""space""]","[0.35970000000111213,0.587300000000738,0.8081000000015024,1.4653000000007523]","[null,null,null,null]",8,78.9605,80.3761,space,1.3812,,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,0,Nicolas Cage,0,TRUE,TRUE,2,0,1,1,18,1,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,George W.Bush,Cristiano Ronaldo,Bradley Cooper,Nicolas Cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3768,83.8251,,,,10,83.8256,85.6583,,,"[""right"",""right"",""right"",""space""]","[0.8941999999992731,1.132800000000742,1.3543000000007623,1.8099000000003684]","[null,null,null,null]",8,85.6599,87.1247,space,1.4453,,53,Celebrities_Faces/053_rating.jpg,Keira Knightley,3,Keira Knightley,3,TRUE,TRUE,3,0,2,2,52,1,53,Celebrities_Faces/053_rating.jpg,Anne Hathaway,Emma Stone,Olivia Rodrigo,Keira Knightley,Keira Knightley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1253,90.3078,,,,9,90.3084,93.1245,,,"[""right"",""right"",""left"",""space""]","[1.5349999999999966,1.8925000000000125,2.3463000000007526,2.7387000000011312]","[null,null,null,null]",6,93.1262,95.4904,space,2.2981,,57,Celebrities_Faces/057_rating.jpg,Serena Williams,2,Serena Williams,2,TRUE,TRUE,4,0,3,3,56,1,57,Celebrities_Faces/057_rating.jpg,Olivia Rodrigo,Charlize Theron,Serena Williams,Greta Thunberg,Serena Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4913,98.3898,,,,10,98.3903,100.5571,,,"[""right"",""right"",""right"",""right"",""space""]","[0.6139000000003421,0.9504999999999768,1.4816999999992504,1.7711999999992258,2.132000000000005]","[null,null,null,null,null]",9,100.5586,102.04,space,1.4411,,7,Celebrities_Faces/007_rating.jpg,Ben Affleck,0,Ben Affleck,0,TRUE,TRUE,5,0,4,4,6,1,7,Celebrities_Faces/007_rating.jpg,Ben Affleck,Nicolas Cage,Henri Canvill,Leonardo Di Caprio,Ben Affleck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6971fc92fb14c75e5dfa7298,2026-01-22_03h34.35.777,WP1_3,2025.2.3,Win32,59.17159763,6609c596ac6ba651a47a15de,695fcc08e6593b9a696132f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0407,105.3225,,,,10,105.3233,114.9045,,,"[""right"",""right"",""right"",""space""]","[7.252499999999998,8.187799999998845,8.437099999999589,9.529999999999973]","[null,null,null,null]",8,114.9059,116.2549,space,1.296,,54,Celebrities_Faces/054_rating.jpg,Julia Roberts,0,Julia Roberts,0,TRUE,TRUE,6,0,5,5,53,1,54,Celebrities_Faces/054_rating.jpg,Julia Roberts,Anne Hathaway,Olivia Rodrigo,Simone Biles,Julia Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
