pid,block,cond,keypress,rt,acc
55d51a6b8ce09000127d4821,1,novel,p,0.8841,1
55d51a6b8ce09000127d4821,1,novel,p,0.9126,1
55d51a6b8ce09000127d4821,1,novel,p,0.7266,1
55d51a6b8ce09000127d4821,1,novel,p,0.7857,1
55d51a6b8ce09000127d4821,1,familiar,q,0.8502,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6779,1
55d51a6b8ce09000127d4821,1,familiar,q,0.8989,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5766,1
55d51a6b8ce09000127d4821,1,familiar,q,0.7861,1
55d51a6b8ce09000127d4821,1,familiar,q,0.755,1
55d51a6b8ce09000127d4821,1,novel,p,0.6517,1
55d51a6b8ce09000127d4821,1,novel,p,0.7381,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6088,1
55d51a6b8ce09000127d4821,1,familiar,q,0.7278,1
55d51a6b8ce09000127d4821,1,familiar,q,0.7629,1
55d51a6b8ce09000127d4821,1,novel,p,0.655,1
55d51a6b8ce09000127d4821,1,novel,p,0.6768,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6032,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5442,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5922,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6281,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6047,1
55d51a6b8ce09000127d4821,1,novel,p,0.9002,1
55d51a6b8ce09000127d4821,1,familiar,NA,NA,NA
55d51a6b8ce09000127d4821,1,familiar,q,0.699,1
55d51a6b8ce09000127d4821,1,novel,p,0.7393,1
55d51a6b8ce09000127d4821,1,novel,p,0.6265,1
55d51a6b8ce09000127d4821,1,novel,p,0.7245,1
55d51a6b8ce09000127d4821,1,novel,p,0.5818,1
55d51a6b8ce09000127d4821,1,familiar,q,0.497,1
55d51a6b8ce09000127d4821,1,familiar,q,0.7105,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5709,1
55d51a6b8ce09000127d4821,1,novel,p,0.6077,1
55d51a6b8ce09000127d4821,1,familiar,p,0.7605,0
55d51a6b8ce09000127d4821,1,familiar,q,0.7652,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5525,1
55d51a6b8ce09000127d4821,1,familiar,p,0.6704,0
55d51a6b8ce09000127d4821,1,novel,p,0.6831,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5842,1
55d51a6b8ce09000127d4821,1,novel,p,0.591,1
55d51a6b8ce09000127d4821,1,novel,p,0.5969,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5598,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6208,1
55d51a6b8ce09000127d4821,1,novel,p,0.8078,1
55d51a6b8ce09000127d4821,1,novel,p,0.7058,1
55d51a6b8ce09000127d4821,1,novel,p,0.6309,1
55d51a6b8ce09000127d4821,1,familiar,q,0.5857,1
55d51a6b8ce09000127d4821,1,novel,p,0.5961,1
55d51a6b8ce09000127d4821,1,novel,p,0.7804,1
55d51a6b8ce09000127d4821,1,novel,p,0.8993,1
55d51a6b8ce09000127d4821,1,familiar,q,0.6476,1
55d51a6b8ce09000127d4821,1,novel,p,0.5925,1
55d51a6b8ce09000127d4821,1,novel,p,0.5537,1
55d51a6b8ce09000127d4821,1,novel,q,0.6314,0
55d51a6b8ce09000127d4821,1,novel,p,0.8433,1
55d51a6b8ce09000127d4821,1,novel,p,0.893,1
55d51a6b8ce09000127d4821,1,novel,p,0.6069,1
55d51a6b8ce09000127d4821,1,familiar,p,0.9155,0
55d51a6b8ce09000127d4821,1,novel,p,0.5713,1
55d51a6b8ce09000127d4821,1,familiar,q,0.8356,1
55d51a6b8ce09000127d4821,2,familiar,q,0.6685,1
55d51a6b8ce09000127d4821,2,novel,p,0.6052,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5534,1
55d51a6b8ce09000127d4821,2,novel,p,0.7826,1
55d51a6b8ce09000127d4821,2,novel,p,0.782,1
55d51a6b8ce09000127d4821,2,familiar,q,0.4773,1
55d51a6b8ce09000127d4821,2,novel,p,0.5789,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5113,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5368,1
55d51a6b8ce09000127d4821,2,familiar,p,0.617,0
55d51a6b8ce09000127d4821,2,novel,p,0.5542,1
55d51a6b8ce09000127d4821,2,novel,p,0.6475,1
55d51a6b8ce09000127d4821,2,novel,p,0.5712,1
55d51a6b8ce09000127d4821,2,familiar,NA,NA,NA
55d51a6b8ce09000127d4821,2,familiar,q,0.7129,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5482,1
55d51a6b8ce09000127d4821,2,familiar,q,0.6302,1
55d51a6b8ce09000127d4821,2,novel,p,0.7644,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5195,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5168,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5248,1
55d51a6b8ce09000127d4821,2,familiar,p,0.686,0
55d51a6b8ce09000127d4821,2,novel,p,0.9784,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5031,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5295,1
55d51a6b8ce09000127d4821,2,novel,p,0.713,1
55d51a6b8ce09000127d4821,2,novel,p,0.6243,1
55d51a6b8ce09000127d4821,2,novel,p,0.6525,1
55d51a6b8ce09000127d4821,2,familiar,q,0.678,1
55d51a6b8ce09000127d4821,2,familiar,q,0.4959,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5045,1
55d51a6b8ce09000127d4821,2,familiar,q,0.4924,1
55d51a6b8ce09000127d4821,2,novel,p,0.5447,1
55d51a6b8ce09000127d4821,2,novel,p,0.5231,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5052,1
55d51a6b8ce09000127d4821,2,novel,q,0.797,0
55d51a6b8ce09000127d4821,2,familiar,q,0.6533,1
55d51a6b8ce09000127d4821,2,familiar,q,0.787,1
55d51a6b8ce09000127d4821,2,novel,p,0.7941,1
55d51a6b8ce09000127d4821,2,novel,p,0.6491,1
55d51a6b8ce09000127d4821,2,familiar,q,0.581,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5645,1
55d51a6b8ce09000127d4821,2,novel,p,0.7089,1
55d51a6b8ce09000127d4821,2,novel,p,0.6607,1
55d51a6b8ce09000127d4821,2,novel,p,0.6245,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5203,1
55d51a6b8ce09000127d4821,2,novel,p,0.6298,1
55d51a6b8ce09000127d4821,2,familiar,q,0.976,1
55d51a6b8ce09000127d4821,2,novel,p,0.7271,1
55d51a6b8ce09000127d4821,2,novel,p,0.7875,1
55d51a6b8ce09000127d4821,2,novel,p,0.5549,1
55d51a6b8ce09000127d4821,2,familiar,p,0.6174,0
55d51a6b8ce09000127d4821,2,novel,p,0.5269,1
55d51a6b8ce09000127d4821,2,novel,p,0.5786,1
55d51a6b8ce09000127d4821,2,novel,p,0.7613,1
55d51a6b8ce09000127d4821,2,novel,p,0.606,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5134,1
55d51a6b8ce09000127d4821,2,novel,p,0.5402,1
55d51a6b8ce09000127d4821,2,familiar,q,0.5537,1
55d51a6b8ce09000127d4821,2,novel,p,0.4883,1
55d51a6b8ce09000127d4821,3,novel,p,0.5353,1
55d51a6b8ce09000127d4821,3,novel,p,0.5024,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5205,1
55d51a6b8ce09000127d4821,3,familiar,q,0.4858,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5656,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5494,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5929,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5199,1
55d51a6b8ce09000127d4821,3,familiar,q,0.6751,1
55d51a6b8ce09000127d4821,3,novel,p,0.6335,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5684,1
55d51a6b8ce09000127d4821,3,novel,p,0.7137,1
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1
55d51a6b8ce09000127d4821,3,familiar,q,0.509,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5139,1
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5185,1
55d51a6b8ce09000127d4821,3,familiar,q,0.668,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5318,1
55d51a6b8ce09000127d4821,3,novel,p,0.6326,1
55d51a6b8ce09000127d4821,3,novel,p,0.4695,1
55d51a6b8ce09000127d4821,3,novel,p,0.551,1
55d51a6b8ce09000127d4821,3,novel,p,0.4643,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5623,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5315,1
55d51a6b8ce09000127d4821,3,novel,p,0.6373,1
55d51a6b8ce09000127d4821,3,familiar,q,0.6529,1
55d51a6b8ce09000127d4821,3,novel,p,0.6431,1
55d51a6b8ce09000127d4821,3,novel,p,0.9018,1
55d51a6b8ce09000127d4821,3,novel,p,0.5331,1
55d51a6b8ce09000127d4821,3,novel,p,0.5287,1
55d51a6b8ce09000127d4821,3,familiar,q,0.6363,1
55d51a6b8ce09000127d4821,3,novel,p,0.457,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5885,1
55d51a6b8ce09000127d4821,3,novel,p,0.4603,1
55d51a6b8ce09000127d4821,3,novel,p,0.4603,1
55d51a6b8ce09000127d4821,3,familiar,q,0.544,1
55d51a6b8ce09000127d4821,3,familiar,q,0.6887,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5448,1
55d51a6b8ce09000127d4821,3,novel,p,0.6637,1
55d51a6b8ce09000127d4821,3,familiar,p,0.4855,0
55d51a6b8ce09000127d4821,3,familiar,q,0.5741,1
55d51a6b8ce09000127d4821,3,familiar,q,0.7438,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5492,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5872,1
55d51a6b8ce09000127d4821,3,familiar,q,0.528,1
55d51a6b8ce09000127d4821,3,novel,p,0.5777,1
55d51a6b8ce09000127d4821,3,novel,p,0.6375,1
55d51a6b8ce09000127d4821,3,novel,p,0.6005,1
55d51a6b8ce09000127d4821,3,familiar,q,0.6513,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5194,1
55d51a6b8ce09000127d4821,3,novel,p,0.5225,1
55d51a6b8ce09000127d4821,3,familiar,q,0.5488,1
55d51a6b8ce09000127d4821,3,novel,p,0.6665,1
55d51a6b8ce09000127d4821,3,novel,p,0.7431,1
55d51a6b8ce09000127d4821,3,novel,p,0.5522,1
55d51a6b8ce09000127d4821,3,novel,p,0.5484,1
55d51a6b8ce09000127d4821,3,novel,p,0.4426,1
55d51a6b8ce09000127d4821,3,novel,p,0.4881,1
55d51a6b8ce09000127d4821,3,novel,p,0.6865,1
57a980098eccbc0001f3a131,1,novel,p,0.8863,1
57a980098eccbc0001f3a131,1,novel,p,0.7443,1
57a980098eccbc0001f3a131,1,familiar,NA,NA,NA
57a980098eccbc0001f3a131,1,familiar,q,0.8726,1
57a980098eccbc0001f3a131,1,familiar,p,0.8264,0
57a980098eccbc0001f3a131,1,familiar,NA,NA,NA
57a980098eccbc0001f3a131,1,familiar,p,0.7086,0
57a980098eccbc0001f3a131,1,familiar,q,0.6763,1
57a980098eccbc0001f3a131,1,novel,p,0.6141,1
57a980098eccbc0001f3a131,1,novel,p,0.546,1
57a980098eccbc0001f3a131,1,novel,p,0.7236,1
57a980098eccbc0001f3a131,1,familiar,q,0.5169,1
57a980098eccbc0001f3a131,1,familiar,q,0.575,1
57a980098eccbc0001f3a131,1,familiar,p,0.7442,0
57a980098eccbc0001f3a131,1,novel,q,0.7163,0
57a980098eccbc0001f3a131,1,novel,q,0.6864,0
57a980098eccbc0001f3a131,1,familiar,p,0.5846,0
57a980098eccbc0001f3a131,1,familiar,p,0.7454,0
57a980098eccbc0001f3a131,1,novel,p,0.8636,1
57a980098eccbc0001f3a131,1,novel,q,0.8785,0
57a980098eccbc0001f3a131,1,familiar,q,0.8919,1
57a980098eccbc0001f3a131,1,novel,q,0.8062,0
57a980098eccbc0001f3a131,1,novel,q,0.7754,0
57a980098eccbc0001f3a131,1,novel,q,0.7129,0
57a980098eccbc0001f3a131,1,familiar,p,0.4677,0
57a980098eccbc0001f3a131,1,novel,p,0.8076,1
57a980098eccbc0001f3a131,1,novel,q,0.7394,0
57a980098eccbc0001f3a131,1,novel,q,0.5956,0
57a980098eccbc0001f3a131,1,novel,q,0.7756,0
57a980098eccbc0001f3a131,1,novel,q,0.8782,0
57a980098eccbc0001f3a131,1,familiar,p,0.6306,0
57a980098eccbc0001f3a131,1,novel,q,0.7569,0
57a980098eccbc0001f3a131,1,novel,q,0.7277,0
57a980098eccbc0001f3a131,1,novel,p,0.5211,1
57a980098eccbc0001f3a131,1,familiar,q,0.8675,1
57a980098eccbc0001f3a131,1,novel,q,0.8749,0
57a980098eccbc0001f3a131,1,novel,p,0.6134,1
57a980098eccbc0001f3a131,1,familiar,p,0.7936,0
57a980098eccbc0001f3a131,1,familiar,q,0.7273,1
57a980098eccbc0001f3a131,1,familiar,p,0.6512,0
57a980098eccbc0001f3a131,1,novel,q,0.8364,0
57a980098eccbc0001f3a131,1,familiar,q,0.7997,1
57a980098eccbc0001f3a131,1,familiar,q,0.7981,1
57a980098eccbc0001f3a131,1,novel,q,0.6332,0
57a980098eccbc0001f3a131,1,novel,p,0.699,1
57a980098eccbc0001f3a131,1,familiar,p,0.8001,0
57a980098eccbc0001f3a131,1,novel,NA,NA,NA
57a980098eccbc0001f3a131,1,familiar,q,0.7219,1
57a980098eccbc0001f3a131,1,familiar,q,0.8808,1
57a980098eccbc0001f3a131,1,familiar,q,0.8635,1
57a980098eccbc0001f3a131,1,novel,p,0.8828,1
57a980098eccbc0001f3a131,1,familiar,p,0.9565,0
57a980098eccbc0001f3a131,1,familiar,p,0.732,0
57a980098eccbc0001f3a131,1,familiar,q,0.6818,1
57a980098eccbc0001f3a131,1,familiar,q,0.6473,1
57a980098eccbc0001f3a131,1,novel,p,0.6419,1
57a980098eccbc0001f3a131,1,familiar,p,0.7928,0
57a980098eccbc0001f3a131,1,familiar,q,0.894,1
57a980098eccbc0001f3a131,1,novel,p,0.6399,1
57a980098eccbc0001f3a131,1,novel,p,0.7791,1
57a980098eccbc0001f3a131,2,familiar,q,0.8266,1
57a980098eccbc0001f3a131,2,novel,NA,NA,NA
57a980098eccbc0001f3a131,2,novel,NA,NA,NA
57a980098eccbc0001f3a131,2,novel,p,0.6642,1
57a980098eccbc0001f3a131,2,familiar,p,0.6312,0
57a980098eccbc0001f3a131,2,novel,q,0.6322,0
57a980098eccbc0001f3a131,2,novel,p,0.5908,1
57a980098eccbc0001f3a131,2,familiar,q,0.6142,1
57a980098eccbc0001f3a131,2,novel,q,0.722,0
57a980098eccbc0001f3a131,2,familiar,q,0.7113,1
57a980098eccbc0001f3a131,2,familiar,q,0.8247,1
57a980098eccbc0001f3a131,2,familiar,p,0.8763,0
57a980098eccbc0001f3a131,2,familiar,q,0.664,1
57a980098eccbc0001f3a131,2,novel,p,0.6323,1
57a980098eccbc0001f3a131,2,novel,p,0.7326,1
57a980098eccbc0001f3a131,2,novel,p,0.8135,1
57a980098eccbc0001f3a131,2,familiar,q,0.6975,1
57a980098eccbc0001f3a131,2,novel,q,0.7968,0
57a980098eccbc0001f3a131,2,familiar,p,0.6995,0
57a980098eccbc0001f3a131,2,novel,q,0.9653,0
57a980098eccbc0001f3a131,2,familiar,p,0.9183,0
57a980098eccbc0001f3a131,2,novel,p,0.7253,1
57a980098eccbc0001f3a131,2,familiar,q,0.5872,1
57a980098eccbc0001f3a131,2,familiar,q,0.6376,1
57a980098eccbc0001f3a131,2,novel,p,0.8606,1
