Study_information_1.started,Study_information_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,session,date,expName,psychopyVersion,OS,frameRate,participant,study_id,Study_information_2.started,Study_information_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Study_information_3.started,Study_information_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Consent.started,Consent.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction_1.started,Instruction_1.stopped,space_cont.keys,space_cont.rt,space_cont.duration,Instruction_2.started,Instruction_2.stopped,space_cont_2.keys,space_cont_2.rt,space_cont_2.duration,Instruction_3.started,Instruction_3.stopped,space_cont_3.keys,space_cont_3.rt,space_cont_3.duration,Instruction_4.started,Instruction_4.stopped,space_cont_4.keys,space_cont_4.rt,space_cont_4.duration,Instruction_5.started,Instruction_5.stopped,space_cont_5.keys,space_cont_5.rt,space_cont_5.duration,Familiarity_Rating.started,Familiarity_Rating.stopped,familiarity_scale.response,familiarity_scale.rt,key_resp_familiarity.keys,familiarity_rating,Valence_Rating.started,Valence_Rating.stopped,valence_scale.response,valence_scale.rt,key_resp_valence.keys,key_resp_valence.rt,key_resp_valence.duration,valence_rating,Name_Selection.started,Name_Selection.stopped,key_resp_naming.keys,key_resp_naming.rt,key_resp_naming.duration,identity_no,image_file,correct_name,selected_name_option,selected_name,correct_name_option,name_correct,qualifies_for_part2,qualified_count_so_far,trials_rating.thisRepN,trials_rating.thisTrialN,trials_rating.thisN,trials_rating.thisIndex,trials_rating.ran,Identity_no,Image,Option1,Option2,Option3,Option4,CorrectName,selection_method,num_selected_identities,qualified_identity_nos,break_1.started,break_1.stopped,Load_Recognition_Trials.started,Load_Recognition_Trials.stopped,Instruction_recog_1.started,Instruction_recog_1.stopped,space_cont_6.keys,space_cont_6.rt,space_cont_6.duration,Instruction_recog_2.started,Instruction_recog_2.stopped,space_cont_7.keys,space_cont_7.rt,space_cont_7.duration,fixation_duration,fix_cross.started,fix_cross.stopped,Practice_Recognition_Trial.started,Practice_Recognition_Trial.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,is_practice,practice_trial_number,is_familiar,participant_response,too_slow,response_time,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,Instruction_recog.started,Instruction_recog.stopped,space_cont_8.keys,space_cont_8.rt,space_cont_8.duration,Recognition_trials.started,Recognition_trials.stopped,key_resp_recognition.keys,key_resp_recognition.rt,key_resp_recognition.duration,recognition_trial_number,original_trial_number,block,trial_in_block,orientation,identity_type,response_familiar,correct,valid_response,Too_slow.started,Too_slow.stopped,break_recog.started,break_recog.stopped,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_6.duration
0.0004,19.6267,space,19.6067,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,19.6272,22.0976,space,2.4511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,22.0979,72.9426,space,50.8174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,72.9429,76.4432,space,3.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,76.4435,79.8433,space,3.3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,79.8436,105.7251,space,25.8523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,105.7253,109.842,space,4.0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8421,111.6753,space,1.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6757,162.492,space,50.7941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.505,170.8293,9.953703704,5.3737,,9.953703704,170.8305,178.0143,,,"[""right"",""right"",""right"",""space""]","[4.966900000002255,5.303500000000014,5.6203000000007535,7.1451000000014915]","[null,null,null,null]",8,178.0162,182.2974,space,4.2418,,56,Celebrities_Faces/056_rating.jpg,Reese Witherspoon,0,Reese Witherspoon,0,TRUE,TRUE,1,0,0,0,55,1,56,Celebrities_Faces/056_rating.jpg,Reese Witherspoon,Sandra Bullock,Nicole Kidman,Halle Berry,Reese Witherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.2992,204.7231,,,,5,204.7248,206.3742,,,"[""space""]",[1.4448999999985404],[null],5,206.3781,226.0569,space,19.467,,9,Celebrities_Faces/009_rating.jpg,Bradley Cooper,2,Bradley Cooper,2,TRUE,FALSE,1,0,1,1,8,1,9,Celebrities_Faces/009_rating.jpg,Chris Hemsworth,Tom Cruise,Bradley Cooper,Lebron James,Bradley Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0588,273.5302,,,,7,273.5315,276.1556,,,"[""right"",""right"",""right"",""space""]","[1.4357999999970161,1.604599999997788,1.7515000000000214,2.488999999999976]","[null,null,null,null]",8,276.1597,279.1648,space,2.8478,,57,Celebrities_Faces/057_rating.jpg,Serena Williams,2,Serena Williams,2,TRUE,TRUE,2,0,2,2,56,1,57,Celebrities_Faces/057_rating.jpg,Olivia Rodrigo,Charlize Theron,Serena Williams,Greta Thunberg,Serena Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.1673,281.6064,,,,10,281.6076,284.8889,,,"[""right"",""right"",""space""]","[2.3116999999992345,2.4625999999977353,3.2141999999992095]","[null,null,null]",7,284.8926,286.7221,space,1.7563,,15,Celebrities_Faces/015_rating.jpg,Harrison Ford,2,Harrison Ford,2,TRUE,TRUE,3,0,3,3,14,1,15,Celebrities_Faces/015_rating.jpg,Lionel Messi,Daniel Radcliffe,Harrison Ford,Brad Pitt,Harrison Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.7241,295.8891,,,,2,295.8904,297.6961,,,"[""space""]",[1.5301999999992404],[null],5,297.6994,300.4561,space,2.4597,,37,Celebrities_Faces/037_rating.jpg,Natalie Portman,1,Natalie Portman,1,TRUE,FALSE,3,0,4,4,36,1,37,Celebrities_Faces/037_rating.jpg,Lady Gaga,Natalie Portman,Hillary Clinton,Michelle Obama,Natalie Portman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.4578,312.696,,,,7,312.6973,314.9383,,,"[""left"",""left"",""left"",""space""]","[1.4216999999992481,1.5957999999969843,1.738399999998478,2.172399999998504]","[null,null,null,null]",2,314.9428,316.4049,space,1.4102,,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,0,Nicolas Cage,0,TRUE,TRUE,4,0,5,5,18,1,19,Celebrities_Faces/019_rating.jpg,Nicolas Cage,George W.Bush,Cristiano Ronaldo,Bradley Cooper,Nicolas Cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.4062,323.1569,,,,10,323.1582,325.5547,,,"[""right"",""right"",""right"",""space""]","[1.48599999999999,1.638499999999965,1.8196999999992158,2.2771999999992545]","[null,null,null,null]",8,325.5623,327.6147,space,1.9492,,46,Celebrities_Faces/046_rating.jpg,Emma Stone,1,Emma Stone,1,TRUE,TRUE,5,0,6,6,45,1,46,Celebrities_Faces/046_rating.jpg,Halle Berry,Emma Stone,Emma Watson,Taylor Swift,Emma Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.6165,354.7081,,,,8,354.7094,359.8379,,,"[""space""]",[4.8839000000022],[null],5,359.8415,362.0706,space,2.0002,,48,Celebrities_Faces/048_rating.jpg,Jennifer Lawrence,0,Jennifer Lawrence,0,TRUE,TRUE,6,0,7,7,47,1,48,Celebrities_Faces/048_rating.jpg,Jennifer Lawrence,Lady Gaga,Anne Hathaway,Emma Stone,Jennifer Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0735,390.114,,,,10,390.1152,392.2201,,,"[""right"",""right"",""right"",""space""]","[1.2058000000007496,1.3731999999992581,1.611500000000035,1.9230000000000018]","[null,null,null,null]",8,392.2229,402.7198,space,10.3123,,30,Celebrities_Faces/030_rating.jpg,Tom Cruise,0,Tom Cruise,0,TRUE,TRUE,7,0,8,8,29,1,30,Celebrities_Faces/030_rating.jpg,Tom Cruise,Lionel Messi,Chris Evans,Bruce Willis,Tom Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.722,405.6873,,,,8,405.6885,420.9703,,,"[""right"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""right"",""space""]","[11.506900000002247,11.68980000000073,11.843300000000738,12.193100000001493,13.239100000001486,13.639999999999986,13.82460000000151,13.971400000002234,14.111800000000756,14.523600000001466,15.212900000002207]","[null,null,null,null,null,null,null,null,null,null,null]",7,420.9742,422.6361,space,1.5891,,23,Celebrities_Faces/023_rating.jpg,Ryan Gosling,2,Ryan Gosling,2,TRUE,TRUE,8,0,9,9,22,1,23,Celebrities_Faces/023_rating.jpg,Brad Pitt,Cristiano Ronaldo,Ryan Gosling,Tom Holland,Ryan Gosling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6a180b738c174ae477dcadf8,2026-05-28_10h34.06.207,WP1_3,2025.2.3,Win32,60.97560976,605f6b4a2ba01a3c9e925d31,6a030b8ba3607712b5d4bf26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.6381,429.0867,,,,10,429.0881,431.1859,,,"[""right"",""left"",""space""]","[0.54849999999999,1.1961000000014792,1.8669000000022038]","[null,null,null]",5,431.1891,432.8025,space,1.3752,,45,Celebrities_Faces/045_rating.jpg,Cameron Diaz,3,Cameron Diaz,3,TRUE,TRUE,9,0,10,10,44,1,45,Celebrities_Faces/045_rating.jpg,Taylor Swift,Natalie Portman,Maria Sharapova,Cameron Diaz,Cameron Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
