pid,block,cond,keypress,acc,rt
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8663
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8516
5755c957eb80c4000741a9ce,1,Novel,p,1,0.718
5755c957eb80c4000741a9ce,1,Novel,p,1,1.0304
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8293
5755c957eb80c4000741a9ce,1,Famous,q,1,0.9734
5755c957eb80c4000741a9ce,1,Famous,q,1,0.623
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7301
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6954
5755c957eb80c4000741a9ce,1,Famous,q,1,0.7233
5755c957eb80c4000741a9ce,1,Famous,q,1,0.5838
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8478
5755c957eb80c4000741a9ce,1,Famous,q,1,0.7452
5755c957eb80c4000741a9ce,1,Famous,p,0,0.8055
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7382
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6558
5755c957eb80c4000741a9ce,1,Famous,p,0,0.7344
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7578
5755c957eb80c4000741a9ce,1,Famous,q,1,0.8967
5755c957eb80c4000741a9ce,1,Famous,p,0,0.9285
5755c957eb80c4000741a9ce,1,Famous,q,1,0.8236
5755c957eb80c4000741a9ce,1,Famous,p,0,0.8223
5755c957eb80c4000741a9ce,1,Famous,p,0,0.7703
5755c957eb80c4000741a9ce,1,Famous,q,1,0.9373
5755c957eb80c4000741a9ce,1,Famous,p,0,0.8538
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6688
5755c957eb80c4000741a9ce,1,Famous,p,0,0.7461
5755c957eb80c4000741a9ce,1,Novel,NA,0,NA
5755c957eb80c4000741a9ce,1,Famous,q,1,0.8132
5755c957eb80c4000741a9ce,1,Novel,p,1,0.764
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6871
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6313
5755c957eb80c4000741a9ce,1,Famous,q,1,1.0217
5755c957eb80c4000741a9ce,1,Famous,q,1,1.0456
5755c957eb80c4000741a9ce,1,Famous,p,0,0.7987
5755c957eb80c4000741a9ce,1,Famous,q,1,0.8623
5755c957eb80c4000741a9ce,1,Famous,p,0,1.0394
5755c957eb80c4000741a9ce,1,Novel,q,0,0.6954
5755c957eb80c4000741a9ce,1,Famous,q,1,0.7436
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7088
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7509
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8347
5755c957eb80c4000741a9ce,1,Famous,q,1,0.8107
5755c957eb80c4000741a9ce,1,Famous,p,0,0.9852
5755c957eb80c4000741a9ce,1,Novel,p,1,0.6098
5755c957eb80c4000741a9ce,1,Famous,p,0,0.7957
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7039
5755c957eb80c4000741a9ce,1,Famous,p,0,0.6776
5755c957eb80c4000741a9ce,1,Novel,p,1,0.7098
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8998
5755c957eb80c4000741a9ce,1,Famous,p,0,0.6753
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8802
5755c957eb80c4000741a9ce,1,Novel,p,1,0.8019
